                A Homogeneous Main-Sequence Model

 
 The surface conditions are:          The central conditions are:

 Mtot =      1.000000 Msun            Mc/Mtot     = -1.55336E-03
 Rtot =      0.989686 Rsun            Rc/Rtot     =  3.40000E-02
 Ltot =      1.000000 Lsun            Lc/Ltot     =  4.91427E-01
 Teff =   5800.000000 K               Density     =  0.00000E+00 g/cm**3
 X    =      0.750000                 Temperature =  0.00000E+00 K
 Y    =      0.248000                 Pressure    =  0.00000E+00 dynes/cm**2
 Z    =      0.002000                 epsilon     =  0.00000E+00 ergs/s/g
                                      dlnP/dlnT   =  2.49927E+00

 
 
 Notes: 
 (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
 (2) Convective zones are indicated by c, radiative zones by r
 (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is labeled by *


      r       Qm       L_r       T        P       rho      kap      eps   dlPdlT
  5.06E+10 3.15E-03 3.83E+33 1.12E+06 8.11E+12 5.21E-02 5.69E+00 4.89E-10 r  4.4
  5.06E+10 3.09E-03 3.83E+33 1.11E+06 7.93E+12 5.12E-02 5.71E+00 4.55E-10 r  4.4
  5.07E+10 3.03E-03 3.83E+33 1.11E+06 7.75E+12 5.03E-02 5.72E+00 4.24E-10 r  4.4
  5.08E+10 2.98E-03 3.83E+33 1.10E+06 7.57E+12 4.94E-02 5.73E+00 3.95E-10 r  4.4
  5.08E+10 2.92E-03 3.83E+33 1.09E+06 7.40E+12 4.85E-02 5.75E+00 3.68E-10 r  4.4
  5.09E+10 2.87E-03 3.83E+33 1.09E+06 7.23E+12 4.77E-02 5.76E+00 3.42E-10 r  4.4
  5.10E+10 2.81E-03 3.83E+33 1.08E+06 7.06E+12 4.68E-02 5.77E+00 3.19E-10 r  4.4
  5.10E+10 2.76E-03 3.83E+33 1.08E+06 6.90E+12 4.60E-02 5.78E+00 2.96E-10 r  4.4
  5.11E+10 2.71E-03 3.83E+33 1.07E+06 6.74E+12 4.52E-02 5.80E+00 2.76E-10 r  4.4
  5.12E+10 2.66E-03 3.83E+33 1.07E+06 6.59E+12 4.44E-02 5.81E+00 2.56E-10 r  4.4
  5.12E+10 2.61E-03 3.83E+33 1.06E+06 6.43E+12 4.36E-02 5.82E+00 2.38E-10 r  4.4
  5.13E+10 2.56E-03 3.83E+33 1.05E+06 6.28E+12 4.28E-02 5.84E+00 2.21E-10 r  4.4
  5.14E+10 2.51E-03 3.83E+33 1.05E+06 6.14E+12 4.20E-02 5.85E+00 2.06E-10 r  4.4
  5.15E+10 2.46E-03 3.83E+33 1.04E+06 5.99E+12 4.12E-02 5.86E+00 1.91E-10 r  4.4
  5.15E+10 2.41E-03 3.83E+33 1.04E+06 5.85E+12 4.05E-02 5.88E+00 1.77E-10 r  4.4
  5.16E+10 2.37E-03 3.83E+33 1.03E+06 5.71E+12 3.97E-02 5.89E+00 1.65E-10 r  4.4
  5.17E+10 2.32E-03 3.83E+33 1.03E+06 5.58E+12 3.90E-02 5.91E+00 1.53E-10 r  4.4
  5.17E+10 2.28E-03 3.83E+33 1.02E+06 5.45E+12 3.83E-02 5.92E+00 1.42E-10 r  4.4
  5.18E+10 2.23E-03 3.83E+33 1.02E+06 5.32E+12 3.76E-02 5.93E+00 1.31E-10 r  4.4
  5.19E+10 2.19E-03 3.83E+33 1.01E+06 5.19E+12 3.69E-02 5.95E+00 1.22E-10 r  4.4
  5.19E+10 2.15E-03 3.83E+33 1.01E+06 5.07E+12 3.62E-02 5.96E+00 1.13E-10 r  4.4
  5.20E+10 2.10E-03 3.83E+33 1.00E+06 4.95E+12 3.55E-02 5.98E+00 1.05E-10 r  4.4
  5.21E+10 2.06E-03 3.83E+33 9.94E+05 4.83E+12 3.49E-02 5.99E+00 9.68E-11 r  4.4
  5.21E+10 2.02E-03 3.83E+33 9.89E+05 4.71E+12 3.42E-02 6.00E+00 8.96E-11 r  4.4
  5.22E+10 1.98E-03 3.83E+33 9.83E+05 4.60E+12 3.36E-02 6.02E+00 8.29E-11 r  4.4
  5.23E+10 1.94E-03 3.83E+33 9.78E+05 4.49E+12 3.30E-02 6.03E+00 7.67E-11 r  4.4
  5.23E+10 1.90E-03 3.83E+33 9.73E+05 4.38E+12 3.23E-02 6.05E+00 7.09E-11 r  4.4
  5.24E+10 1.87E-03 3.83E+33 9.67E+05 4.27E+12 3.17E-02 6.06E+00 6.56E-11 r  4.4
  5.25E+10 1.83E-03 3.83E+33 9.62E+05 4.17E+12 3.11E-02 6.08E+00 6.06E-11 r  4.4
  5.26E+10 1.79E-03 3.83E+33 9.57E+05 4.07E+12 3.05E-02 6.09E+00 5.60E-11 r  4.4
